watersysteem_id;locatie_naam;locatie_code;locatie_omschrijving;geometry
Nieuwe Waterweg;Europoort, Hartelbrug;europoort.hartelbrug;Europoort, Hartelbrug;c(4.307781, 51.86635)
Nieuwe Waterweg;Botlek Geulhaven;botlek.geulhaven;Radarpost 10;c(4.312531, 51.891814)
Nieuwe Waterweg;Maasvlakte Europahaven;maasvlakte.europahaven;Maasvlakte Europahaven;c(4.029139, 51.962167)
Nieuwe Waterweg;Maasvlakte, Hartelhaven;maasvlakte.hartelhaven;Maasvlakte, Hartelhaven;c(4.042464, 51.929692)
Nieuwe Waterweg;Suurhofbrug, noordzijde;suurhofbrug.noordzijde;Suurhofbrug, noordzijde;c(4.107234, 51.937687)
Nieuwe Waterweg;Europoort, Harmsenbrug;europoort.harmsenbrug;Europoort, Harmsenbrug;c(4.210879, 51.901771)
Nieuwe Waterweg;Europahaven;europahaven;Europahaven;c(4.029151, 51.962179)
Kanaal van Gent naar Terneuzen;Sas van Gent;sasvangent;noordzijde brug;c(3.807499, 51.230267)
Kanaal van Gent naar Terneuzen;Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;Terneuzen, Sluiskilbrug;c(3.8354, 51.294)
Kanaal van St. Andries;Sint Andries, Waal;sintandries.waal;Sint Andries, Waal;c(5.357049, 51.798608)
